127.0.0.1 - - [14/Jun/2023:09:03:33 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:03:34 +0700] "GET /cassava/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/ HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/js/gleek.js HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/js/styleSwitcher.js HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/js/settings.js HTTP/1.1" 200 8433
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/js/custom.min.js HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/plugins/common/common.min.js HTTP/1.1" 200 212781
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/css/style.css HTTP/1.1" 200 442981
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/icons/cryptocoins/css/cryptocoins.css HTTP/1.1" 200 14040
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/icons/weather-icons/css/weather-icons.min.css HTTP/1.1" 200 23145
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/icons/cryptocoins/css/cryptocoins-colors.css HTTP/1.1" 200 3787
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/icons/linea-icons/linea.css HTTP/1.1" 200 51953
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/icons/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31028
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/icons/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 13337
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:10:28 +0700] "GET /cassava/resources/icons/ionicons/css/ionicons.css HTTP/1.1" 200 63155
